word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,
hola,hello,es,basics_core_language,greetings_introductions,interjection,beginner,KS3,¡Hola! ¿Cómo estás?,Hello! How are you?,/ˈola/,,,"buenos días,adiós",greeting;basic;polite,,,hola,
buenos días,good morning,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Buenos días, señor.","Good morning, sir.",/ˈbwenos ˈdi.as/,,,"hola, buenas tardes",adiós,greeting;time_of_day,,buenos días,
buenas tardes,good afternoon,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Buenas tardes, María.","Good afternoon, María.",/ˈbwenas ˈtarðes/,,,"buenos días, buenas noches",adiós,greeting;time_of_day,,buenas tardes,
buenas noches,good evening/night,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,Buenas noches y que descanses.,Good night and rest well.,/ˈbwenas ˈnotʃes/,,,buenas tardes,adiós,greeting;time_of_day,,buenas noches,
¿cómo estás?,how are you?,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,¿Cómo estás?,How are you?,/ˈkomo esˈtas/,,,qué tal,muy bien,question;greeting,,cómo estás,
muy bien,very well,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Estoy muy bien, gracias.","I am very well, thank you.",/ˈmuj ˈβjen/,,,bien,mal,response;greeting,,muy bien,
¿y tú?,and you?,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,¿Y tú?,And you?,/i tu/,,,qué hay,de ti,question;conversation,,¿y tú?,
me llamo,my name is,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,Me llamo Ana.,My name is Ana.,/me ˈʝamo/,,,mi nombre es,,phrase;introduction,,me llamo,
encantado,pleased to meet you,es,basics_core_language,greetings_introductions,adjective,beginner,KS3,Encantado de conocerte.,Pleased to meet you.,/enkaŋˈtado/,m,,,encantada,,,encantado,
encantada,pleased to meet you,es,basics_core_language,greetings_introductions,adjective,beginner,KS3,Encantada de conocerte.,Pleased to meet you.,/enkaŋˈtada/,f,,,encantado,,,encantada,
hasta luego,see you later,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Hasta luego, nos vemos.","See you later, see you soon.",/ˈasta ˈlweɣo/,,,hasta pronto,adiós,farewell;casual,,hasta luego,
hasta pronto,see you soon,es,basics_core_language,greetings_introductions,phrase,beginner,KS3,"Hasta pronto, cuídate.","See you soon, take care.",/ˈasta ˈpɾonto/,,,hasta luego,adiós,farewell;casual,,hasta pronto,
ciao,bye,es,basics_core_language,greetings_introductions,interjection,beginner,KS3,"Ciao, nos vemos mañana.","Bye, see you tomorrow.",/ˈtʃao/,,,adiós,farewell;informal,,,ciao,
adiós,goodbye,es,basics_core_language,greetings_introductions,interjection,beginner,KS3,"Adiós, que te vaya bien.","Goodbye, take care.",/aˈðjos/,,,"hola, hasta luego",greeting;farewell;formal,,,adiós,
por favor,please,es,basics_core_language,common_phrases,phrase,beginner,KS3,"Por favor, ayúdame.","Please, help me.",/poɾ faˈβoɾ/,,,,,polite;request,,por favor,
gracias,thank you,es,basics_core_language,common_phrases,interjection,beginner,KS3,Muchas gracias por tu ayuda.,Thank you very much for your help.,/ˈɡɾaθjas/,,,muchas gracias,de nada,polite;gratitude,,gracias,
de nada,you’re welcome,es,basics_core_language,common_phrases,phrase,beginner,KS3,Gracias. – De nada.,Thank you. – You’re welcome.,/de ˈnaða/,,,,,polite;response,,de nada,
lo siento,I’m sorry,es,basics_core_language,common_phrases,phrase,beginner,KS3,"Lo siento, no fue mi culpa.","I’m sorry, it wasn’t my fault.",/lo ˈsjento/,,,perdón,,apology;polite,,lo siento,
